season,holiday,workingday,weather,temp,humidity,windspeed,registered,count,date,years,months,days,hours,is_night
1,0,0,1,9.84,81,0.0,13,16,0,2011,1,1,0,1
1,0,0,1,9.02,80,0.0,32,40,0,2011,1,1,1,1
1,0,0,1,9.02,80,0.0,27,32,0,2011,1,1,2,1
1,0,0,1,9.84,75,0.0,10,13,0,2011,1,1,3,1
1,0,0,1,9.84,75,0.0,1,1,0,2011,1,1,4,1
1,0,0,2,9.84,75,6.0032,1,1,0,2011,1,1,5,1
1,0,0,1,9.02,80,0.0,0,2,0,2011,1,1,6,1
1,0,0,1,8.2,86,0.0,2,3,0,2011,1,1,7,1
1,0,0,1,9.84,75,0.0,7,8,0,2011,1,1,8,1
1,0,0,1,13.12,76,0.0,6,14,0,2011,1,1,9,1
1,0,0,1,15.58,76,16.9979,24,36,0,2011,1,1,10,1
1,0,0,1,14.76,81,19.0012,30,56,0,2011,1,1,11,1
1,0,0,1,17.22,77,19.0012,55,84,0,2011,1,1,12,1
1,0,0,2,18.86,72,19.9995,47,94,0,2011,1,1,13,1
1,0,0,2,18.86,72,19.0012,71,106,0,2011,1,1,14,1
1,0,0,2,18.04,77,19.9995,70,110,0,2011,1,1,15,1
1,0,0,2,17.22,82,19.9995,52,93,0,2011,1,1,16,1
1,0,0,2,18.04,82,19.0012,52,67,0,2011,1,1,17,1
1,0,0,3,17.22,88,16.9979,26,35,0,2011,1,1,18,1
1,0,0,3,17.22,88,16.9979,31,37,0,2011,1,1,19,1
1,0,0,2,16.4,87,16.9979,25,36,0,2011,1,1,20,1
1,0,0,2,16.4,87,12.998,31,34,0,2011,1,1,21,0
1,0,0,2,16.4,94,15.0013,17,28,0,2011,1,1,22,0
1,0,0,2,18.86,88,19.9995,24,39,0,2011,1,1,23,0
1,0,0,2,18.86,88,19.9995,13,17,1,2011,1,2,0,0
1,0,0,2,18.04,94,16.9979,16,17,1,2011,1,2,1,0
1,0,0,2,17.22,100,19.0012,8,9,1,2011,1,2,2,0
1,0,0,2,18.86,94,12.998,4,6,1,2011,1,2,3,0
1,0,0,2,18.86,94,12.998,1,3,1,2011,1,2,4,0
1,0,0,3,17.22,77,19.9995,2,2,1,2011,1,2,6,1
1,0,0,2,16.4,76,12.998,1,1,1,2011,1,2,7,1
1,0,0,3,16.4,71,15.0013,8,8,1,2011,1,2,8,1
1,0,0,2,15.58,76,15.0013,19,20,1,2011,1,2,9,1
1,0,0,2,14.76,81,15.0013,46,53,1,2011,1,2,10,1
1,0,0,2,14.76,71,16.9979,54,70,1,2011,1,2,11,1
1,0,0,2,14.76,66,19.9995,73,93,1,2011,1,2,12,1
1,0,0,2,14.76,66,8.9981,64,75,1,2011,1,2,13,1
1,0,0,3,14.76,76,12.998,55,59,1,2011,1,2,14,1
