season,holiday,workingday,weather,temp,humidity,windspeed,count,date,years,months,days,hours,is_night
1,0,0,1,9.84,81,0.0,16,0,2011,1,1,0,1
1,0,0,1,9.02,80,0.0,40,0,2011,1,1,1,1
1,0,0,1,9.02,80,0.0,32,0,2011,1,1,2,1
1,0,0,1,9.84,75,0.0,13,0,2011,1,1,3,1
1,0,0,1,9.84,75,0.0,1,0,2011,1,1,4,1
1,0,0,2,9.84,75,6.0032,1,0,2011,1,1,5,1
1,0,0,1,9.02,80,0.0,2,0,2011,1,1,6,Set
1,0,0,1,8.2,86,0.0,3,0,2011,1,1,7,1
1,0,0,1,9.84,75,0.0,8,0,2011,1,1,8,1
1,0,0,1,13.12,76,0.0,14,0,2011,1,1,9,1
1,0,0,1,15.58,76,16.9979,36,0,2011,1,1,10,1
1,0,0,1,14.76,81,19.0012,56,0,2011,1,1,11,1
1,0,0,1,17.22,77,19.0012,84,0,2011,1,1,12,1
1,0,0,2,18.86,72,19.9995,94,0,2011,1,1,13,1
1,0,0,2,18.86,72,19.0012,106,0,2011,1,1,14,1
1,0,0,2,18.04,77,19.9995,110,0,2011,1,1,15,1
1,0,0,2,17.22,82,19.9995,93,0,2011,1,1,16,1
1,0,0,2,18.04,82,19.0012,67,0,2011,1,1,17,1
1,0,0,3,17.22,88,16.9979,35,0,2011,1,1,18,1
1,0,0,3,17.22,88,16.9979,37,0,2011,1,1,19,1
1,0,0,2,16.4,87,16.9979,36,0,2011,1,1,20,1
1,0,0,2,16.4,87,12.998,34,0,2011,1,1,21,Rise
1,0,0,2,16.4,94,15.0013,28,0,2011,1,1,22,0
1,0,0,2,18.86,88,19.9995,39,0,2011,1,1,23,0
1,0,0,2,18.86,88,19.9995,17,1,2011,1,2,0,0
1,0,0,2,18.04,94,16.9979,17,1,2011,1,2,1,0
1,0,0,2,17.22,100,19.0012,9,1,2011,1,2,2,0
1,0,0,2,18.86,94,12.998,6,1,2011,1,2,3,0
1,0,0,2,18.86,94,12.998,3,1,2011,1,2,4,0
1,0,0,3,17.22,77,19.9995,2,1,2011,1,2,6,Set
1,0,0,2,16.4,76,12.998,1,1,2011,1,2,7,1
1,0,0,3,16.4,71,15.0013,8,1,2011,1,2,8,1
1,0,0,2,15.58,76,15.0013,20,1,2011,1,2,9,1
1,0,0,2,14.76,81,15.0013,53,1,2011,1,2,10,1
1,0,0,2,14.76,71,16.9979,70,1,2011,1,2,11,1
1,0,0,2,14.76,66,19.9995,93,1,2011,1,2,12,1
1,0,0,2,14.76,66,8.9981,75,1,2011,1,2,13,1
1,0,0,3,14.76,76,12.998,59,1,2011,1,2,14,1
1,0,0,3,13.94,81,11.0014,74,1,2011,1,2,15,1
1,0,0,3,13.94,71,11.0014,76,1,2011,1,2,16,1
1,0,0,1,13.94,57,12.998,65,1,2011,1,2,17,1
1,0,0,2,14.76,46,22.0028,53,1,2011,1,2,18,1
1,0,0,1,13.12,42,30.0026,30,1,2011,1,2,19,1
1,0,0,1,12.3,39,23.9994,22,1,2011,1,2,20,1
1,0,0,1,10.66,44,22.0028,31,1,2011,1,2,21,Rise
1,0,0,1,9.84,44,19.9995,9,1,2011,1,2,22,0
1,0,0,1,9.02,47,11.0014,8,1,2011,1,2,23,0
1,0,1,1,9.02,44,23.9994,5,2,2011,1,3,0,0
1,0,1,1,8.2,44,27.9993,2,2,2011,1,3,1,0
1,0,1,1,6.56,47,26.0027,1,2,2011,1,3,4,0
1,0,1,1,6.56,47,19.0012,3,2,2011,1,3,5,0
1,0,1,1,5.74,50,26.0027,30,2,2011,1,3,6,Set
1,0,1,1,5.74,50,12.998,64,2,2011,1,3,7,1
1,0,1,1,5.74,50,19.0012,154,2,2011,1,3,8,1
1,0,1,1,6.56,43,26.0027,88,2,2011,1,3,9,1
1,0,1,1,7.38,43,16.9979,44,2,2011,1,3,10,1
1,0,1,1,8.2,40,22.0028,51,2,2011,1,3,11,1
1,0,1,1,9.02,35,19.9995,61,2,2011,1,3,12,1
1,0,1,1,9.84,35,19.0012,61,2,2011,1,3,13,1
1,0,1,1,10.66,30,19.0012,77,2,2011,1,3,14,1
1,0,1,1,10.66,30,16.9979,72,2,2011,1,3,15,1
1,0,1,1,10.66,30,16.9979,76,2,2011,1,3,16,1
1,0,1,1,9.84,30,15.0013,157,2,2011,1,3,17,1
1,0,1,1,9.84,32,7.0015,157,2,2011,1,3,18,1
1,0,1,1,8.2,47,0.0,110,2,2011,1,3,19,1
1,0,1,1,8.2,47,7.0015,52,2,2011,1,3,20,1
1,0,1,1,7.38,64,8.9981,52,2,2011,1,3,21,Rise
1,0,1,1,5.74,69,8.9981,20,2,2011,1,3,22,0
1,0,1,1,7.38,55,7.0015,12,2,2011,1,3,23,0
1,0,1,1,6.56,55,7.0015,5,3,2011,1,4,0,0
1,0,1,1,6.56,59,7.0015,2,3,2011,1,4,1,0
1,0,1,1,5.74,63,8.9981,1,3,2011,1,4,2,0
1,0,1,1,5.74,63,6.0032,2,3,2011,1,4,4,0
1,0,1,1,4.92,68,7.0015,4,3,2011,1,4,5,0
1,0,1,1,4.92,74,7.0015,36,3,2011,1,4,6,Set
1,0,1,1,4.92,74,8.9981,94,3,2011,1,4,7,1
1,0,1,1,5.74,69,11.0014,179,3,2011,1,4,8,1
1,0,1,1,6.56,64,15.0013,100,3,2011,1,4,9,1
1,0,1,2,6.56,69,22.0028,42,3,2011,1,4,10,1
1,0,1,1,9.02,51,19.9995,57,3,2011,1,4,11,1
1,0,1,1,9.02,51,11.0014,78,3,2011,1,4,12,1
1,0,1,1,9.84,56,12.998,97,3,2011,1,4,13,1
1,0,1,1,10.66,52,15.0013,63,3,2011,1,4,14,1
1,0,1,1,11.48,52,16.9979,65,3,2011,1,4,15,1
1,0,1,1,12.3,49,16.9979,83,3,2011,1,4,16,1
1,0,1,1,11.48,48,15.0013,212,3,2011,1,4,17,1
1,0,1,1,10.66,48,12.998,182,3,2011,1,4,18,1
1,0,1,1,9.84,48,7.0015,112,3,2011,1,4,19,1
1,0,1,1,9.84,48,7.0015,54,3,2011,1,4,20,1
1,0,1,1,9.02,64,0.0,48,3,2011,1,4,21,Rise
1,0,1,1,9.02,64,6.0032,35,3,2011,1,4,22,0
1,0,1,1,8.2,69,6.0032,11,3,2011,1,4,23,0
1,0,1,1,8.2,64,0.0,6,4,2011,1,5,0,0
1,0,1,1,6.56,74,6.0032,6,4,2011,1,5,1,0
1,0,1,1,6.56,74,6.0032,2,4,2011,1,5,2,0
1,0,1,1,9.84,48,15.0013,2,4,2011,1,5,4,0
1,0,1,1,9.02,47,11.0014,3,4,2011,1,5,5,0
1,0,1,1,8.2,47,15.0013,33,4,2011,1,5,6,Set
1,0,1,1,7.38,43,12.998,88,4,2011,1,5,7,1
1,0,1,1,8.2,40,19.9995,195,4,2011,1,5,8,1
1,0,1,1,9.02,37,22.0028,115,4,2011,1,5,9,1
1,0,1,1,9.02,37,22.0028,57,4,2011,1,5,10,1
1,0,1,1,10.66,33,22.0028,46,4,2011,1,5,11,1
1,0,1,1,10.66,33,22.0028,79,4,2011,1,5,12,1
1,0,1,1,11.48,30,19.9995,71,4,2011,1,5,13,1
1,0,1,1,12.3,28,12.998,62,4,2011,1,5,14,1
1,0,1,1,12.3,28,12.998,62,4,2011,1,5,15,1
1,0,1,1,12.3,28,6.0032,89,4,2011,1,5,16,1
1,0,1,1,9.84,38,12.998,190,4,2011,1,5,17,1
1,0,1,1,9.84,38,8.9981,169,4,2011,1,5,18,1
1,0,1,1,9.84,38,7.0015,132,4,2011,1,5,19,1
1,0,1,1,9.02,47,11.0014,89,4,2011,1,5,20,1
1,0,1,1,8.2,51,12.998,43,4,2011,1,5,21,Rise
1,0,1,1,7.38,55,8.9981,42,4,2011,1,5,22,0
1,0,1,1,8.2,47,0.0,19,4,2011,1,5,23,0
1,0,1,1,7.38,55,0.0,11,5,2011,1,6,0,0
1,0,1,1,6.56,64,0.0,4,5,2011,1,6,1,0
