datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,month,day,hour,year,date,is_night
2011-01-01 00:00:00,Winter,0,0,Clear,9.84,14.395,81,0.0,3,13,16,1,Saturday,0,2011,718,1
2011-01-01 01:00:00,Winter,0,0,Clear,9.02,13.635,80,0.0,8,32,40,1,Saturday,1,2011,718,1
2011-01-01 02:00:00,Winter,0,0,Clear,9.02,13.635,80,0.0,5,27,32,1,Saturday,2,2011,718,1
2011-01-01 03:00:00,Winter,0,0,Clear,9.84,14.395,75,0.0,3,10,13,1,Saturday,3,2011,718,1
2011-01-01 04:00:00,Winter,0,0,Clear,9.84,14.395,75,0.0,0,1,1,1,Saturday,4,2011,718,1
2011-01-01 05:00:00,Winter,0,0,Misty+Cloudy,9.84,12.88,75,6.0032,0,1,1,1,Saturday,5,2011,718,1
2011-01-01 06:00:00,Winter,0,0,Clear,9.02,13.635,80,0.0,2,0,2,1,Saturday,6,2011,718,1
2011-01-01 07:00:00,Winter,0,0,Clear,8.2,12.88,86,0.0,1,2,3,1,Saturday,7,2011,718,1
2011-01-01 08:00:00,Winter,0,0,Clear,9.84,14.395,75,0.0,1,7,8,1,Saturday,8,2011,718,1
2011-01-01 09:00:00,Winter,0,0,Clear,13.12,17.425,76,0.0,8,6,14,1,Saturday,9,2011,718,0
2011-01-01 10:00:00,Winter,0,0,Clear,15.58,19.695,76,16.9979,12,24,36,1,Saturday,10,2011,718,0
2011-01-01 11:00:00,Winter,0,0,Clear,14.76,16.665,81,19.0012,26,30,56,1,Saturday,11,2011,718,0
2011-01-01 12:00:00,Winter,0,0,Clear,17.22,21.21,77,19.0012,29,55,84,1,Saturday,12,2011,718,0
2011-01-01 13:00:00,Winter,0,0,Misty+Cloudy,18.86,22.725,72,19.9995,47,47,94,1,Saturday,13,2011,718,0
2011-01-01 14:00:00,Winter,0,0,Misty+Cloudy,18.86,22.725,72,19.0012,35,71,106,1,Saturday,14,2011,718,0
2011-01-01 15:00:00,Winter,0,0,Misty+Cloudy,18.04,21.97,77,19.9995,40,70,110,1,Saturday,15,2011,718,0
2011-01-01 16:00:00,Winter,0,0,Misty+Cloudy,17.22,21.21,82,19.9995,41,52,93,1,Saturday,16,2011,718,0
2011-01-01 17:00:00,Winter,0,0,Misty+Cloudy,18.04,21.97,82,19.0012,15,52,67,1,Saturday,17,2011,718,0
2011-01-01 18:00:00,Winter,0,0,Light Snow/Rain,17.22,21.21,88,16.9979,9,26,35,1,Saturday,18,2011,718,0
2011-01-01 19:00:00,Winter,0,0,Light Snow/Rain,17.22,21.21,88,16.9979,6,31,37,1,Saturday,19,2011,718,0
2011-01-01 20:00:00,Winter,0,0,Misty+Cloudy,16.4,20.455,87,16.9979,11,25,36,1,Saturday,20,2011,718,1
2011-01-01 21:00:00,Winter,0,0,Misty+Cloudy,16.4,20.455,87,12.998,3,31,34,1,Saturday,21,2011,718,1
2011-01-01 22:00:00,Winter,0,0,Misty+Cloudy,16.4,20.455,94,15.0013,11,17,28,1,Saturday,22,2011,718,1
2011-01-01 23:00:00,Winter,0,0,Misty+Cloudy,18.86,22.725,88,19.9995,15,24,39,1,Saturday,23,2011,718,1
2011-01-02 00:00:00,Winter,0,0,Misty+Cloudy,18.86,22.725,88,19.9995,4,13,17,1,Sunday,0,2011,717,1
2011-01-02 01:00:00,Winter,0,0,Misty+Cloudy,18.04,21.97,94,16.9979,1,16,17,1,Sunday,1,2011,717,1
2011-01-02 02:00:00,Winter,0,0,Misty+Cloudy,17.22,21.21,100,19.0012,1,8,9,1,Sunday,2,2011,717,1
2011-01-02 03:00:00,Winter,0,0,Misty+Cloudy,18.86,22.725,94,12.998,2,4,6,1,Sunday,3,2011,717,1
2011-01-02 04:00:00,Winter,0,0,Misty+Cloudy,18.86,22.725,94,12.998,2,1,3,1,Sunday,4,2011,717,1
2011-01-02 06:00:00,Winter,0,0,Light Snow/Rain,17.22,21.21,77,19.9995,0,2,2,1,Sunday,6,2011,717,1
2011-01-02 07:00:00,Winter,0,0,Misty+Cloudy,16.4,20.455,76,12.998,0,1,1,1,Sunday,7,2011,717,1
2011-01-02 08:00:00,Winter,0,0,Light Snow/Rain,16.4,20.455,71,15.0013,0,8,8,1,Sunday,8,2011,717,1
2011-01-02 09:00:00,Winter,0,0,Misty+Cloudy,15.58,19.695,76,15.0013,1,19,20,1,Sunday,9,2011,717,0
2011-01-02 10:00:00,Winter,0,0,Misty+Cloudy,14.76,17.425,81,15.0013,7,46,53,1,Sunday,10,2011,717,0
2011-01-02 11:00:00,Winter,0,0,Misty+Cloudy,14.76,16.665,71,16.9979,16,54,70,1,Sunday,11,2011,717,0
2011-01-02 12:00:00,Winter,0,0,Misty+Cloudy,14.76,16.665,66,19.9995,20,73,93,1,Sunday,12,2011,717,0
2011-01-02 13:00:00,Winter,0,0,Misty+Cloudy,14.76,17.425,66,8.9981,11,64,75,1,Sunday,13,2011,717,0
2011-01-02 14:00:00,Winter,0,0,Light Snow/Rain,14.76,17.425,76,12.998,4,55,59,1,Sunday,14,2011,717,0
2011-01-02 15:00:00,Winter,0,0,Light Snow/Rain,13.94,16.665,81,11.0014,19,55,74,1,Sunday,15,2011,717,0
2011-01-02 16:00:00,Winter,0,0,Light Snow/Rain,13.94,16.665,71,11.0014,9,67,76,1,Sunday,16,2011,717,0
2011-01-02 17:00:00,Winter,0,0,Clear,13.94,16.665,57,12.998,7,58,65,1,Sunday,17,2011,717,0
2011-01-02 18:00:00,Winter,0,0,Misty+Cloudy,14.76,16.665,46,22.0028,10,43,53,1,Sunday,18,2011,717,0
2011-01-02 19:00:00,Winter,0,0,Clear,13.12,14.395,42,30.0026,1,29,30,1,Sunday,19,2011,717,0
2011-01-02 20:00:00,Winter,0,0,Clear,12.3,13.635,39,23.9994,5,17,22,1,Sunday,20,2011,717,1
2011-01-02 21:00:00,Winter,0,0,Clear,10.66,11.365,44,22.0028,11,20,31,1,Sunday,21,2011,717,1
2011-01-02 22:00:00,Winter,0,0,Clear,9.84,10.605,44,19.9995,0,9,9,1,Sunday,22,2011,717,1
2011-01-02 23:00:00,Winter,0,0,Clear,9.02,11.365,47,11.0014,0,8,8,1,Sunday,23,2011,717,1
2011-01-03 00:00:00,Winter,0,1,Clear,9.02,9.85,44,23.9994,0,5,5,1,Monday,0,2011,716,1
2011-01-03 01:00:00,Winter,0,1,Clear,8.2,8.335,44,27.9993,0,2,2,1,Monday,1,2011,716,1
2011-01-03 04:00:00,Winter,0,1,Clear,6.56,6.82,47,26.0027,0,1,1,1,Monday,4,2011,716,1
2011-01-03 05:00:00,Winter,0,1,Clear,6.56,6.82,47,19.0012,0,3,3,1,Monday,5,2011,716,1
2011-01-03 06:00:00,Winter,0,1,Clear,5.74,5.305,50,26.0027,0,30,30,1,Monday,6,2011,716,1
2011-01-03 07:00:00,Winter,0,1,Clear,5.74,6.82,50,12.998,1,63,64,1,Monday,7,2011,716,1
2011-01-03 08:00:00,Winter,0,1,Clear,5.74,6.06,50,19.0012,1,153,154,1,Monday,8,2011,716,1
2011-01-03 09:00:00,Winter,0,1,Clear,6.56,6.82,43,26.0027,7,81,88,1,Monday,9,2011,716,0
2011-01-03 10:00:00,Winter,0,1,Clear,7.38,8.335,43,16.9979,11,33,44,1,Monday,10,2011,716,0
2011-01-03 11:00:00,Winter,0,1,Clear,8.2,9.09,40,22.0028,10,41,51,1,Monday,11,2011,716,0
2011-01-03 12:00:00,Winter,0,1,Clear,9.02,10.605,35,19.9995,13,48,61,1,Monday,12,2011,716,0
2011-01-03 13:00:00,Winter,0,1,Clear,9.84,10.605,35,19.0012,8,53,61,1,Monday,13,2011,716,0
2011-01-03 14:00:00,Winter,0,1,Clear,10.66,12.12,30,19.0012,11,66,77,1,Monday,14,2011,716,0
2011-01-03 15:00:00,Winter,0,1,Clear,10.66,12.12,30,16.9979,14,58,72,1,Monday,15,2011,716,0
2011-01-03 16:00:00,Winter,0,1,Clear,10.66,12.12,30,16.9979,9,67,76,1,Monday,16,2011,716,0
2011-01-03 17:00:00,Winter,0,1,Clear,9.84,11.365,30,15.0013,11,146,157,1,Monday,17,2011,716,0
2011-01-03 18:00:00,Winter,0,1,Clear,9.84,12.88,32,7.0015,9,148,157,1,Monday,18,2011,716,0
2011-01-03 19:00:00,Winter,0,1,Clear,8.2,12.88,47,0.0,8,102,110,1,Monday,19,2011,716,0
2011-01-03 20:00:00,Winter,0,1,Clear,8.2,11.365,47,7.0015,3,49,52,1,Monday,20,2011,716,1
2011-01-03 21:00:00,Winter,0,1,Clear,7.38,9.85,64,8.9981,3,49,52,1,Monday,21,2011,716,1
2011-01-03 22:00:00,Winter,0,1,Clear,5.74,7.575,69,8.9981,0,20,20,1,Monday,22,2011,716,1
2011-01-03 23:00:00,Winter,0,1,Clear,7.38,10.605,55,7.0015,1,11,12,1,Monday,23,2011,716,1
2011-01-04 00:00:00,Winter,0,1,Clear,6.56,9.09,55,7.0015,0,5,5,1,Teusday,0,2011,715,1
2011-01-04 01:00:00,Winter,0,1,Clear,6.56,9.09,59,7.0015,0,2,2,1,Teusday,1,2011,715,1
2011-01-04 02:00:00,Winter,0,1,Clear,5.74,7.575,63,8.9981,0,1,1,1,Teusday,2,2011,715,1
2011-01-04 04:00:00,Winter,0,1,Clear,5.74,9.09,63,6.0032,0,2,2,1,Teusday,4,2011,715,1
2011-01-04 05:00:00,Winter,0,1,Clear,4.92,7.575,68,7.0015,0,4,4,1,Teusday,5,2011,715,1
2011-01-04 06:00:00,Winter,0,1,Clear,4.92,7.575,74,7.0015,0,36,36,1,Teusday,6,2011,715,1
2011-01-04 07:00:00,Winter,0,1,Clear,4.92,7.575,74,8.9981,2,92,94,1,Teusday,7,2011,715,1
2011-01-04 08:00:00,Winter,0,1,Clear,5.74,7.575,69,11.0014,2,177,179,1,Teusday,8,2011,715,1
2011-01-04 09:00:00,Winter,0,1,Clear,6.56,7.575,64,15.0013,2,98,100,1,Teusday,9,2011,715,0
2011-01-04 10:00:00,Winter,0,1,Misty+Cloudy,6.56,6.82,69,22.0028,5,37,42,1,Teusday,10,2011,715,0
2011-01-04 11:00:00,Winter,0,1,Clear,9.02,10.605,51,19.9995,7,50,57,1,Teusday,11,2011,715,0
2011-01-04 12:00:00,Winter,0,1,Clear,9.02,11.365,51,11.0014,12,66,78,1,Teusday,12,2011,715,0
2011-01-04 13:00:00,Winter,0,1,Clear,9.84,11.365,56,12.998,18,79,97,1,Teusday,13,2011,715,0
2011-01-04 14:00:00,Winter,0,1,Clear,10.66,12.88,52,15.0013,9,54,63,1,Teusday,14,2011,715,0
2011-01-04 15:00:00,Winter,0,1,Clear,11.48,13.635,52,16.9979,17,48,65,1,Teusday,15,2011,715,0
2011-01-04 16:00:00,Winter,0,1,Clear,12.3,14.395,49,16.9979,15,68,83,1,Teusday,16,2011,715,0
