,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,year,month,day
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,16,2011,1,1
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,40,2011,1,1
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,32,2011,1,1
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,13,2011,1,1
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,1,2011,1,1
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,1,2011,1,1
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,2011,1,1
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,3,2011,1,1
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,8,2011,1,1
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,14,2011,1,1
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,36,2011,1,1
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,56,2011,1,1
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,84,2011,1,1
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,94,2011,1,1
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,106,2011,1,1
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,110,2011,1,1
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,93,2011,1,1
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,67,2011,1,1
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,35,2011,1,1
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,37,2011,1,1
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,36,2011,1,1
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,34,2011,1,1
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,28,2011,1,1
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,39,2011,1,1
